"Symbol","Security Description","Event","Date","Quantity","Cost/Proceeds",
"AA","ALCOA INC  ","Purchase","09/13/2016","1,000.0000","$9,537.00",
"AA","ALCOA INC  ","Sell","09/13/2016","1,000.0000","$9,552.69",
"AAPL","APPLE INC  ","Purchase","09/13/2016","330.0000","$35,676.67",
"AAPL","APPLE INC  ","Sell","09/13/2016","330.0000","$35,694.90",
"AAPL","APPLE INC  ","Sell","09/13/2016","200.0000","$21,672.51",
"AAPL","APPLE INC  ","Sell","09/13/2016","280.0000","$30,324.71",
"AAPL","APPLE INC  ","Sell","09/13/2016","320.0000","$34,680.22",
"AAPL","APPLE INC  ","Sell","09/13/2016","200.0000","$21,682.51",
"AAPL","APPLE INC  ","Purchase","09/13/2016","200.0000","$21,629.00",
"AAPL","APPLE INC  ","Purchase","09/13/2016","200.0000","$21,587.00",
"AAPL","APPLE INC  ","Purchase","09/13/2016","280.0000","$30,283.40",
"AAPL","APPLE INC  ","Purchase","09/13/2016","320.0000","$34,592.60",
"BAC","BANK AMER CORP  ","Purchase","09/13/2016","1,300.0000","$20,429.87",
"BAC","BANK AMER CORP  ","Purchase","09/13/2016","1,350.0000","$21,040.00",
"BAC","BANK AMER CORP  ","Purchase","09/13/2016","1,300.0000","$20,260.87",
"BAC","BANK AMER CORP  ","Sell","09/13/2016","1,300.0000","$20,337.41",
"BAC","BANK AMER CORP  ","Sell","09/13/2016","1,350.0000","$21,119.88",
"BAC","BANK AMER CORP  ","Sell","09/13/2016","1,300.0000","$20,467.41",
"BAC","BANK AMER CORP  ","Purchase","09/13/2016","1,200.0000","$18,811.00",
"AAPL","APPLE INC  ","Sell","09/12/2016","125.0000","$13,205.21",
"AAPL","APPLE INC  ","Sell","09/12/2016","190.0000","$19,934.95",
"AAPL","APPLE INC  ","Open Short","09/12/2016","125.0000","$13,106.46",
"AAPL","APPLE INC  ","Cover Short","09/12/2016","125.0000","$13,057.00",
"BAC","BANK AMER CORP  ","Purchase","09/12/2016","1,000.0000","$15,717.00",
"BAC","BANK AMER CORP  ","Sell","09/12/2016","600.0000","$9,496.73",
"BAC","BANK AMER CORP  ","Sell","09/12/2016","1,000.0000","$15,772.55",
"BAC","BANK AMER CORP  ","Sell","09/12/2016","500.0000","$7,927.78",
"BAC","BANK AMER CORP  ","Open Short","09/12/2016","1,200.0000","$19,048.45",
"BAC","BANK AMER CORP  ","Open Short","09/12/2016","1,000.0000","$15,812.56",
"BAC","BANK AMER CORP  ","Cover Short","09/12/2016","1,000.0000","$15,707.00",
"AAPL","APPLE INC  ","Purchase","09/09/2016","170.0000","$17,908.00",
"AAPL","APPLE INC  ","Purchase","09/09/2016","190.0000","$19,949.40",
"AAPL","APPLE INC  ","Sell","09/09/2016","170.0000","$17,936.10",
"BAC","BANK AMER CORP  ","Purchase","09/09/2016","1,100.0000","$17,420.00",
"BAC","BANK AMER CORP  ","Sell","09/09/2016","1,100.0000","$17,658.49",
"BAC","BANK AMER CORP  ","Open Short","09/09/2016","1,300.0000","$20,883.41",
"BAC","BANK AMER CORP  ","Cover Short","09/09/2016","1,130.0000","$17,883.60",
"BAC","BANK AMER CORP  ","Cover Short","09/09/2016","1,300.0000","$20,859.00",
"AAPL","APPLE INC  ","Purchase","09/08/2016","125.0000","$13,244.50",
"AAPL","APPLE INC  ","Purchase","09/08/2016","175.0000","$18,516.75",
"AAPL","APPLE INC  ","Sell","09/08/2016","175.0000","$18,537.34",
"BAC","BANK AMER CORP  ","Purchase","09/08/2016","1,150.0000","$18,073.50",
"BAC","BANK AMER CORP  ","Sell","09/08/2016","1,140.0000","$18,050.08",
"BAC","BANK AMER CORP  ","Sell","09/08/2016","1,000.0000","$15,872.55",
"BAC","BANK AMER CORP  ","Sell","09/08/2016","1,150.0000","$18,150.98",
"BAC","BANK AMER CORP  ","Open Short","09/08/2016","1,130.0000","$17,891.68",
"BAC","BANK AMER CORP  ","Purchase","09/06/2016","2,000.0000","$31,717.00",
"BAC","BANK AMER CORP  ","Purchase","09/06/2016","140.0000","$2,209.19",
"AA","ALCOA INC  ","Purchase","09/02/2016","1,000.0000","$10,097.00",
"AA","ALCOA INC  ","Sell","09/02/2016","1,000.0000","$10,102.67",
"BAC","BANK AMER CORP  ","Purchase","09/02/2016","1,400.0000","$22,267.00",
"BAC","BANK AMER CORP  ","Sell","09/02/2016","1,400.0000","$22,336.36",
"BAC","BANK AMER CORP  ","Purchase","08/31/2016","1,200.0000","$19,135.00",
